"row_idx","archivo_origen","duracion_hrs","distancia_km","velocidad_kmh","hora_inicio","hora_fin","comuna","via","indice_coord","lon","lat","alt","fecha","segment_id","fecha_dia","reset_flag","lat_prev","lon_prev","dist_from_prev_km","__jump_thr__","jump_flag","new_segment_flag","segment_seq"
"0","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml","0.25","0.76","20.47","17:15","17:30","Concepción","Martínez de Rozas","0","-73.050587","-36.820176","146.5746427651886","2025-07-01","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml::0","2025-07-01","False","","","","0.4","False","False","0"
"1","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml","0.25","0.76","20.47","17:15","17:30","Concepción","Martínez de Rozas","1","-73.051893","-36.820715","146.5746427651886","2025-07-01","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml::0","2025-07-01","False","-36.820176","-73.050587","0.1307921200572011","0.4","False","False","0"
"2","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml","0.25","0.76","20.47","17:15","17:30","Concepción","Martínez de Rozas","2","-73.053147","-36.821255","146.5746427651886","2025-07-01","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml::0","2025-07-01","False","-36.820715","-73.051893","0.12674769418555185","0.4","False","False","0"
"3","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml","0.25","0.76","20.47","17:15","17:30","Concepción","Martínez de Rozas","3","-73.054417","-36.821788","146.5746427651886","2025-07-01","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml::0","2025-07-01","False","-36.821255","-73.053147","0.1276397478484242","0.4","False","False","0"
"4","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml","0.25","0.76","20.47","17:15","17:30","Concepción","Martínez de Rozas","4","-73.055626","-36.822288","146.5746427651886","2025-07-01","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml::0","2025-07-01","False","-36.821788","-73.054417","0.12112853593120586","0.4","False","False","0"
"5","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml","0.25","0.76","20.47","17:15","17:30","Concepción","Martínez de Rozas","5","-73.056879","-36.822798","146.5746427651886","2025-07-01","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml::0","2025-07-01","False","-36.822288","-73.055626","0.1251204653437457","0.4","False","False","0"
"6","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml","0.25","0.76","20.47","17:15","17:30","Concepción","Martínez de Rozas","6","-73.058141","-36.823332","146.5746427651886","2025-07-01","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml::0","2025-07-01","False","-36.822798","-73.056879","0.12705942158528424","0.4","False","False","0"
"7","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml","0.42","0.61","21.76","20:25","20:50","Concepción","Barros Arana","0","-73.057982","-36.830058","137.84543164115422","2025-07-01","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml::1","2025-07-01","True","-36.823332","-73.058141","0.7480319924811158","0.4","False","True","1"
"8","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml","0.42","0.61","21.76","20:25","20:50","Concepción","Barros Arana","1","-73.058171","-36.82976","137.84543164115422","2025-07-01","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml::1","2025-07-01","False","-36.830058","-73.057982","0.03716135069223644","0.4","False","False","1"
"9","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml","0.42","0.61","21.76","20:25","20:50","Concepción","Barros Arana","2","-73.057422","-36.829447","137.84543164115422","2025-07-01","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml::1","2025-07-01","False","-36.82976","-73.058171","0.07520177726978906","0.4","False","False","1"
"10","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml","0.42","0.61","21.76","20:25","20:50","Concepción","Barros Arana","3","-73.056158","-36.828913","137.84543164115422","2025-07-01","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml::1","2025-07-01","False","-36.829447","-73.057422","0.1272088830012751","0.4","False","False","1"
"11","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml","0.42","0.61","21.76","20:25","20:50","Concepción","Barros Arana","4","-73.054908","-36.828399","137.84543164115422","2025-07-01","congestiones_duracion_Región del Bío-Bío_01_07_2025.kml::1","2025-07-01","False","-36.828913","-73.056158","0.1250771906152031","0.4","False","False","1"
